mile_marker,latitude,longitude
600,35.45553576932135,-118.2556437056069
610,35.4747478576378,-118.14742056784068
620,35.55515775561311,-118.11710409475043
630,35.619447904942525,-118.08853033859859
640,35.67180968606034,-118.016215183445
650,35.74039486272062,-118.017311136573
660,35.781688526663714,-118.01416587996863
670,35.85873159583378,-118.06322803078174
680,35.924897528793736,-118.14863024173005
690,36.04306936043674,-118.13331477561648
700,36.159061862886524,-118.14535819911683
710,36.25593858198265,-118.12316756138682
720,36.34898692658884,-118.12598974599719
730,36.43006970290143,-118.16087394289485
740,36.47855614644887,-118.2657646924896
750,36.53344224499838,-118.3633319806347
760,36.63899945172157,-118.38756378049642
770,36.73388695113353,-118.37549292538499
780,36.812060865675555,-118.40170837733537
790,36.908166408858335,-118.39819196504192
800,37.00205728671162,-118.45276640611785
810,37.055268857860085,-118.51994563525575
820,37.112826251534855,-118.62317784071033
830,37.165224197687365,-118.69053304640194
840,37.203640566174286,-118.80231455750175
850,37.265182709631354,-118.87753801827496
860,37.37434920779393,-118.89750911634368
870,37.441630466875694,-118.91921308047944
880,37.51991345090597,-118.94097687246902
890,37.574255101370454,-119.04270858901495
900,37.66825135019269,-119.0785954052004
910,37.73117707856344,-119.16209055604652
920,37.77478656564322,-119.26062610074266
930,37.876245559539974,-119.33683474111206
940,37.953680830796486,-119.40557911657297
950,38.01302034773111,-119.41346296160856
960,38.018788701723714,-119.51477554108224
970,38.05892191417909,-119.5890908802446
980,38.130298419353025,-119.62082869194477
990,38.22747095505733,-119.57833507707585
1000,38.29514737713691,-119.63773703457741
1010,38.378231084374974,-119.63631242368479
1020,38.446693629884315,-119.71931755408697
1030,38.52038178211813,-119.77959353292704
1040,38.58593673416733,-119.83134011328183
1050,38.610431850924165,-119.891851363511
1060,38.675818484063896,-119.97680126439674
1070,38.754139661953545,-120.052110197083
1080,38.845723085914415,-120.06767877188732
1090,38.89752652700294,-120.12835533968645
1100,38.980735427361324,-120.18399446627146
1110,39.07576904381656,-120.23381047462362
1120,39.16853941652971,-120.2542170879571
1130,39.238809179913574,-120.28552798392627
1140,39.32917158402921,-120.32003458938294
1150,39.40453988357223,-120.38510569013589
1160,39.44459679187384,-120.4633062865809
1170,39.51716025737083,-120.54777292946895
1180,39.57730516108099,-120.61145523238979
1190,39.61187746564754,-120.6544499389148
1200,39.68953446233209,-120.70194018092536
1210,39.72767059596619,-120.79627490289245
1220,39.78132522102657,-120.89983858268302
1230,39.789217741935964,-121.02473901274544
1240,39.803759127895354,-121.07855343308539
1250,39.87561564471147,-121.11953146550651
1260,39.95880527077991,-121.17058562247854
1270,40.001633900489615,-121.26124569563233
1280,40.033339617144335,-121.36411526864184
1290,40.11048402981912,-121.3856773914198
1300,40.193879877093934,-121.43884229962515
1310,40.23565786291795,-121.34957686523632
1320,40.31286451712864,-121.35432413113799
1330,40.410742982770174,-121.38542915165372
1340,40.49256270015519,-121.36603376061763
1350,40.569470322944156,-121.45635410176885
1360,40.67055442060897,-121.4213034092779
1370,40.75806697855841,-121.38784394385675
1380,40.877293607173314,-121.4347745116863
1390,40.926914830732755,-121.54189459230747
1400,41.0093004537304,-121.6252451656087
1410,41.02871435770442,-121.73821133519014
1420,41.103398639947585,-121.78691671885734
1430,41.17791991958472,-121.8288028668473
1440,41.157826169792614,-121.95121581035697
1450,41.12830142666225,-122.02797437853404
1460,41.109476588007134,-122.12313184971141
1470,41.138914188302934,-122.19467664067095
