track_name,latitude,longitude,color
AT,34.6299409,-84.1945919,#00AA00
AT,34.6300805,-84.1946789,#00AA00
AT,34.630298,-84.1948225,#00AA00
AT,34.6303829,-84.1949016,#00AA00
AT,34.630484,-84.1949705,#00AA00
AT,34.6305848,-84.1949992,#00AA00
AT,34.6307748,-84.1950749,#00AA00
AT,34.6309204,-84.1951581,#00AA00
AT,34.6310836,-84.1952452,#00AA00
AT,34.6313811,-84.1954224,#00AA00
AT,34.6314837,-84.1955089,#00AA00
AT,34.6316312,-84.1956192,#00AA00
AT,34.6317402,-84.1957222,#00AA00
AT,34.63186,-84.1958303,#00AA00
AT,34.6319734,-84.1959685,#00AA00
AT,34.632053,-84.1960943,#00AA00
AT,34.6322218,-84.1962543,#00AA00
AT,34.6322919,-84.1963677,#00AA00
AT,34.6323954,-84.1965346,#00AA00
AT,34.6325686,-84.1967911,#00AA00
AT,34.632701,-84.196943,#00AA00
AT,34.6330088,-84.197269,#00AA00
AT,34.6332122,-84.1974428,#00AA00
AT,34.6334574,-84.1975412,#00AA00
AT,34.6335977,-84.1976039,#00AA00
AT,34.6337181,-84.1976124,#00AA00
AT,34.6339277,-84.1976171,#00AA00
AT,34.6340356,-84.1976293,#00AA00
AT,34.634198,-84.1976091,#00AA00
AT,34.6344421,-84.1976068,#00AA00
AT,34.6348342,-84.1975372,#00AA00
AT,34.6351244,-84.197495,#00AA00
AT,34.6352031,-84.1974612,#00AA00
AT,34.6355229,-84.1974203,#00AA00
AT,34.6356609,-84.1973874,#00AA00
AT,34.6358569,-84.1974067,#00AA00
AT,34.6360371,-84.1974128,#00AA00
AT,34.6361794,-84.1973898,#00AA00
AT,34.6365321,-84.1973319,#00AA00
AT,34.6366701,-84.1973209,#00AA00
AT,34.6368552,-84.1972713,#00AA00
AT,34.637201,-84.1971597,#00AA00
AT,34.6372642,-84.1971467,#00AA00
AT,34.6373209,-84.1971237,#00AA00
AT,34.6374359,-84.1970566,#00AA00
AT,34.637511,-84.19701,#00AA00
AT,34.6375732,-84.1969339,#00AA00
AT,34.6376444,-84.1968177,#00AA00
AT,34.6376622,-84.1967172,#00AA00
AT,34.6376971,-84.1965999,#00AA00
AT,34.6377031,-84.1965056,#00AA00
AT,34.6376969,-84.1963161,#00AA00
AT,34.6376553,-84.1961633,#00AA00
AT,34.6375831,-84.196038,#00AA00
AT,34.637523,-84.1959467,#00AA00
AT,34.6374652,-84.1958415,#00AA00
AT,34.6374536,-84.1957778,#00AA00
AT,34.6374697,-84.1956708,#00AA00
AT,34.6375015,-84.1955391,#00AA00
AT,34.6375307,-84.1953246,#00AA00
AT,34.6375385,-84.1952751,#00AA00
AT,34.637548,-84.1952645,#00AA00
AT,34.6376157,-84.1952776,#00AA00
AT,34.6376761,-84.1952318,#00AA00
AT,34.6377026,-84.1952137,#00AA00
AT,34.6377265,-84.1951677,#00AA00
AT,34.6377424,-84.1950855,#00AA00
AT,34.6377659,-84.1950341,#00AA00
AT,34.6377696,-84.1949816,#00AA00
AT,34.6377215,-84.1948569,#00AA00
AT,34.6376756,-84.1947138,#00AA00
AT,34.6377042,-84.1946021,#00AA00
AT,34.63771,-84.1945283,#00AA00
AT,34.6375996,-84.1942178,#00AA00
AT,34.6375623,-84.1940851,#00AA00
AT,34.6375269,-84.1939457,#00AA00
AT,34.6375155,-84.1938335,#00AA00
AT,34.6375161,-84.1937338,#00AA00
AT,34.6375265,-84.1936376,#00AA00
AT,34.6375374,-84.1935783,#00AA00
AT,34.6376071,-84.1933557,#00AA00
AT,34.637694,-84.1931181,#00AA00
AT,34.637721,-84.1929662,#00AA00
AT,34.6377734,-84.1928067,#00AA00
AT,34.6378279,-84.1926932,#00AA00
AT,34.6379186,-84.1925163,#00AA00
AT,34.6380181,-84.1923397,#00AA00
AT,34.6381148,-84.192225,#00AA00
AT,34.638183,-84.1921724,#00AA00
AT,34.6386013,-84.1920276,#00AA00
AT,34.6387406,-84.1919985,#00AA00
AT,34.638884,-84.1919511,#00AA00
AT,34.6390432,-84.1918715,#00AA00
AT,34.6391974,-84.1917796,#00AA00
AT,34.6394628,-84.1916271,#00AA00
AT,34.6395786,-84.191574,#00AA00
AT,34.6397155,-84.1915497,#00AA00
AT,34.6397477,-84.1915423,#00AA00
AT,34.6397884,-84.191533,#00AA00
AT,34.6398505,-84.1915189,#00AA00
AT,34.6399122,-84.1914851,#00AA00
AT,34.6400695,-84.1913944,#00AA00
AT,34.6402108,-84.1913472,#00AA00
AT,34.6404337,-84.1913375,#00AA00
AT,34.640779,-84.1912757,#00AA00
AT,34.6409731,-84.1912891,#00AA00
AT,34.641171,-84.1913433,#00AA00
AT,34.6415185,-84.1915165,#00AA00
AT,34.6417556,-84.1916154,#00AA00
AT,34.6421053,-84.1916567,#00AA00
AT,34.642235,-84.1916317,#00AA00
AT,34.642448,-84.1915497,#00AA00
AT,34.6425873,-84.1914996,#00AA00
AT,34.6428878,-84.1915044,#00AA00
AT,34.6430789,-84.1914464,#00AA00
AT,34.6432635,-84.1914344,#00AA00
AT,34.6433421,-84.191421,#00AA00
AT,34.6434217,-84.1914252,#00AA00
AT,34.6434708,-84.1914116,#00AA00
AT,34.6435431,-84.1913774,#00AA00
AT,34.6436187,-84.1913577,#00AA00
AT,34.6436713,-84.1913835,#00AA00
AT,34.6436951,-84.1913954,#00AA00
AT,34.6437195,-84.1914076,#00AA00
AT,34.6437738,-84.1914385,#00AA00
AT,34.643822,-84.1914378,#00AA00
AT,34.6438663,-84.1914034,#00AA00
AT,34.6438952,-84.1913683,#00AA00
AT,34.643955,-84.1913154,#00AA00
AT,34.6440089,-84.1912998,#00AA00
AT,34.6441569,-84.1912643,#00AA00
AT,34.6443102,-84.1912075,#00AA00
AT,34.6445025,-84.191082,#00AA00
AT,34.6446933,-84.1909692,#00AA00
AT,34.6449419,-84.1908975,#00AA00
AT,34.6450854,-84.1909244,#00AA00
AT,34.6452259,-84.1909562,#00AA00
AT,34.645375,-84.1910514,#00AA00
AT,34.6455199,-84.1911734,#00AA00
AT,34.6456586,-84.1914058,#00AA00
AT,34.645775,-84.1916163,#00AA00
AT,34.6458574,-84.1917269,#00AA00
AT,34.6460258,-84.1918449,#00AA00
AT,34.6462786,-84.1920264,#00AA00
AT,34.6465014,-84.1921062,#00AA00
AT,34.6467889,-84.1921578,#00AA00
AT,34.6473579,-84.1923898,#00AA00
AT,34.6474578,-84.1923868,#00AA00
AT,34.6475686,-84.1923687,#00AA00
AT,34.6476846,-84.1923759,#00AA00
AT,34.6477686,-84.19242,#00AA00
AT,34.6477812,-84.192463,#00AA00
AT,34.6478139,-84.1925294,#00AA00
AT,34.6478139,-84.1925816,#00AA00
AT,34.6477957,-84.1926312,#00AA00
AT,34.6477563,-84.1927957,#00AA00
AT,34.6477708,-84.1929496,#00AA00
AT,34.6478226,-84.1930883,#00AA00
AT,34.6478628,-84.1932009,#00AA00
AT,34.6478846,-84.1933205,#00AA00
AT,34.6479046,-84.1934997,#00AA00
AT,34.6479305,-84.1937137,#00AA00
AT,34.6478986,-84.1938979,#00AA00
AT,34.6478628,-84.1940005,#00AA00
AT,34.6478017,-84.1941023,#00AA00
AT,34.647606,-84.1943416,#00AA00
AT,34.6473669,-84.1945745,#00AA00
AT,34.647213,-84.1947093,#00AA00
AT,34.6470459,-84.1948727,#00AA00
AT,34.6469509,-84.1950254,#00AA00
AT,34.6466915,-84.1951556,#00AA00
AT,34.6464329,-84.1952958,#00AA00
AT,34.6463034,-84.1954254,#00AA00
AT,34.6461999,-84.1955621,#00AA00
AT,34.6460148,-84.1958149,#00AA00
AT,34.6459687,-84.1960026,#00AA00
AT,34.6459641,-84.1961669,#00AA00
AT,34.6459501,-84.1963374,#00AA00
AT,34.6459432,-84.1966761,#00AA00
AT,34.6459571,-84.1968213,#00AA00
AT,34.6459804,-84.1969145,#00AA00
AT,34.6460565,-84.1970332,#00AA00
AT,34.6460987,-84.1970805,#00AA00
AT,34.6461671,-84.1971491,#00AA00
AT,34.6462066,-84.1972245,#00AA00
AT,34.6462248,-84.197293,#00AA00
AT,34.6462157,-84.1973545,#00AA00
AT,34.6461988,-84.1974793,#00AA00
AT,34.6461945,-84.1975587,#00AA00
AT,34.6462109,-84.1976559,#00AA00
AT,34.6462726,-84.1977648,#00AA00
AT,34.6463625,-84.1978942,#00AA00
AT,34.6464477,-84.1979728,#00AA00
AT,34.6465624,-84.1980934,#00AA00
AT,34.6466809,-84.1981687,#00AA00
AT,34.6467492,-84.1982293,#00AA00
AT,34.6468064,-84.1982993,#00AA00
AT,34.6468209,-84.1983454,#00AA00
AT,34.6468201,-84.1984181,#00AA00
AT,34.6467895,-84.1985269,#00AA00
AT,34.646821,-84.1986084,#00AA00
AT,34.6468742,-84.198665,#00AA00
AT,34.6470075,-84.1987107,#00AA00
AT,34.6471728,-84.1986868,#00AA00
AT,34.6474118,-84.1986245,#00AA00
AT,34.6476642,-84.1985365,#00AA00
AT,34.6479575,-84.1984627,#00AA00
AT,34.6481339,-84.198493,#00AA00
AT,34.6483577,-84.1986073,#00AA00
AT,34.6484563,-84.1986575,#00AA00
AT,34.6485399,-84.1986914,#00AA00
AT,34.6486661,-84.1986892,#00AA00
AT,34.6487967,-84.1986865,#00AA00
AT,34.6488854,-84.1987138,#00AA00
